,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 26_level_0
,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
0,1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24-107,2000,12.3,0,2,0,0.0,0.16,0.00,0.00,,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
1,2,Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,23-181,2000,10.3,2,11,4,36.4,1.07,0.39,0.18,0.50,15.4,0,0,0,1.7,1.7,0.15,+0.3,+0.3,Matches
2,3,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,20-238,2003,1.1,0,2,2,100.0,1.78,1.78,0.00,0.00,15.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
3,4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,36-205,1987,25.9,3,20,7,35.0,0.77,0.27,0.15,0.43,14.5,0,0,0,2.6,2.6,0.13,+0.4,+0.4,Matches
4,5,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,24-025,2000,16.7,0,5,0,0.0,0.30,0.00,0.00,,21.6,0,0,0,0.8,0.8,0.17,-0.8,-0.8,Matches
5,6,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,31-079,1993,27.5,1,19,7,36.8,0.69,0.25,0.05,0.14,25.8,0,0,0,0.9,0.9,0.05,+0.1,+0.1,Matches
6,7,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21-023,2003,8.2,3,27,13,48.1,3.30,1.59,0.11,0.23,17.6,0,0,0,2.0,2.0,0.08,+1.0,+1.0,Matches
7,8,Abner,br BRA,DF,Betis,es La Liga,23-329,2000,14.0,0,4,0,0.0,0.29,0.00,0.00,,15.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
8,9,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24-062,2000,5.4,3,15,5,33.3,2.80,0.93,0.13,0.40,17.0,0,1,1,2.3,1.5,0.10,+0.7,+0.5,Matches
9,10,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25-041,1999,20.2,0,8,2,25.0,0.40,0.10,0.00,0.00,12.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
10,11,Tammy Abraham,eng ENG,FW,Roma,it Serie A,26-201,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
11,12,Francesco Acerbi,it ITA,DF,Inter,it Serie A,36-070,1988,23.5,2,14,5,35.7,0.59,0.21,0.14,0.40,12.5,0,0,0,1.1,1.1,0.08,+0.9,+0.9,Matches
12,13,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,32-175,1991,10.1,0,7,3,42.9,0.69,0.30,0.00,0.00,31.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
13,14,Bénie Adama Traore,ci CIV,"FW,MF",Sheffield Utd,eng Premier League,21-142,2002,4.3,0,1,1,100.0,0.23,0.23,0.00,0.00,15.3,0,0,0,0.3,0.3,0.27,-0.3,-0.3,Matches
